date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:15	1647/1647	---M--	200	added ('OK')	application/javascript	etag:%2232c2c1a-66f-5a75ecd426c00%22	http://golden-castle.biz/account/assets/vendor/parsley/lang/ko.js	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/vendor/parsley/lang/ko.js	(from http://golden-castle.biz/account/login.php)
20:36:15	66664/66664	---M--	200	added ('OK')	application/javascript	etag:%2232c0b30-10468-5577da1490900%22	http://golden-castle.biz/account/assets/vendor/select2/select2.min.js	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/vendor/select2/select2.min.js	(from http://golden-castle.biz/account/login.php)
20:36:17	42913/42913	---M--	200	added ('OK')	application/javascript	etag:%2232c2c40-a7a1-57a0e4176f880%22	http://golden-castle.biz/account/assets/vendor/parsley/parsley.min.js	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/vendor/parsley/parsley.min.js	(from http://golden-castle.biz/account/login.php)
20:36:18	192961/192961	---M--	200	added ('OK')	image/jpeg	etag:%2232c0b31-2f1c1-59a27f73e2380%22	http://golden-castle.biz/account/images/city.jpg	C:/My%20Web%20Sites/money/golden-castle.biz/account/images/city.jpg	(from http://golden-castle.biz/account/login.php)
20:36:40	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2232c0aa6-12d68-5503f6d643a00%22	http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
20:36:44	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%2232c0aa2-6c7db-5503f6d643a00%22	http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
20:36:47	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2232c0aa5-17ee8-5503f6d643a00%22	http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
20:36:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2232c0aa1-2876e-5503f6d643a00%22	http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
20:36:58	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2232c0aa4-286ac-5503f6d643a00%22	http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
20:37:26	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2232c0aa1-2876e-5503f6d643a00%22	http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
20:37:27	263192/263192	---M--	200	added ('OK')	font/ttf	etag:%2232c0add-40418-4b3f9aac35800%22	http://golden-castle.biz/account/assets/fonts/montserrat/Montserrat-Regular.ttf	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/montserrat/Montserrat-Regular.ttf	(from http://golden-castle.biz/account/assets/css/main.css)
20:37:28	262108/262108	---M--	200	added ('OK')	font/ttf	etag:%2232c0ad4-3ffdc-4b3f9aac35800%22	http://golden-castle.biz/account/assets/fonts/montserrat/Montserrat-ExtraBold.ttf	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/montserrat/Montserrat-ExtraBold.ttf	(from http://golden-castle.biz/account/assets/css/main.css)
20:37:29	261588/261588	---M--	200	added ('OK')	font/ttf	etag:%2232c0ad2-3fdd4-4b3f9aac35800%22	http://golden-castle.biz/account/assets/fonts/montserrat/Montserrat-Bold.ttf	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/montserrat/Montserrat-Bold.ttf	(from http://golden-castle.biz/account/assets/css/main.css)
